"id","netPrice","stock","certificate","shape","weight","color","clarity","cut","polish","symmetry","fluroscence","lab","location","imageLink","videoLink","created_at","updated_at"
122,5271,"BH-11A",2256433645,"RD",1.02,"H","VS1","EX","EX","EX","NONE","GIA","HK","http://segoma.com/v.php?type=view&id=IUKC5HLJTT","",NULL,NULL
123,4994,"BH-14",1253493799,"RD",1.02,"H","VS2","EX","EX","EX","NONE","GIA","HK","http://segoma.com/v.php?type=view&id=HJU8QRG377","",NULL,NULL
124,4569,"BB-20",2247423339,"RD",1.1,"H","SI1","EX","EX","EX","NONE","GIA","HK","http://segoma.com/v.php?type=view&id=T0MNIXGAPP","",NULL,NULL
125,3304,"BH-11",5256493861,"RD",1,"H","SI2","EX","EX","VG","NONE","GIA","HK","http://segoma.com/v.php?type=view&id=Y37MHE73XX","",NULL,NULL
126,2440,"BB-41A",1249535731,"RD",1,"H","I1","VG","VG","VG","NONE","GIA","HK","http://segoma.com/v.php?type=view&id=O8YYNA3NQQ","",NULL,NULL
127,2880,"BE2-3A",1253065583,"RD",1,"H","I1","EX","EX","EX","NONE","GIA","HK","http://segoma.com/v.php?type=view&id=9NCDUXZ555","",NULL,NULL
128,2828,"BH-22",6252493683,"RD",1.01,"H","I1","EX","EX","EX","NONE","GIA","HK","","",NULL,NULL
129,2652,"BH-14A",6252447672,"RD",1.02,"H","I1","EX","EX","EX","NONE","GIA","HK","http://segoma.com/v.php?type=view&id=87TE3BPDMM","",NULL,NULL
130,4534,"BG-10",6251447358,"RD",1.01,"I","VS1","EX","EX","EX","NONE","GIA","HK","http://segoma.com/v.php?type=view&id=9AHEN3EZTT","",NULL,NULL
131,3878,"BG-1C",2254422129,"RD",1.01,"I","SI1","EX","EX","EX","NONE","GIA","HK","http://segoma.com/v.php?type=view&id=PWORT7FVEE","",NULL,NULL
132,2964,"BF2-7",7252329744,"RD",1,"I","SI2","EX","EX","EX","STG","GIA","HK","http://segoma.com/v.php?type=view&id=HPYYYTHVZZ","",NULL,NULL
133,2860,"BD1-4B",2246854211,"RD",1,"I","SI2","EX","VG","VG","NONE","GIA","HK","http://segoma.com/v.php?type=view&id=G1DWPL92WW","",NULL,NULL
134,3349,"AW-3A",2247376398,"RD",1.13,"I","SI2","EX","EX","EX","NONE","GIA","HK","http://segoma.com/v.php?type=view&id=EKO943I1KK","",NULL,NULL
135,2196,"AU-1C",2234980765,"RD",1,"I","I1","GD","VG","GD","FAINT","GIA","HK","http://segoma.com/v.php?type=view&id=UE9FZYXTNN","",NULL,NULL
136,2400,"AW-25",6245646628,"RD",1.01,"I","I1","EX","EX","EX","NONE","GIA","HK","http://segoma.com/v.php?type=view&id=2JUQD9T299","",NULL,NULL
137,3137,"BG-14G",6252432339,"RD",1.05,"I","I1","EX","EX","EX","FAINT","GIA","HK","http://segoma.com/v.php?type=view&id=2N6GVC6PCC","",NULL,NULL
138,6731,"BH-9",5253447697,"RD",1.42,"J","VVS1","EX","EX","EX","NONE","GIA","HK","http://segoma.com/v.php?type=view&id=PGXM50FXHH","",NULL,NULL
139,4111,"BH-9A",6251447374,"RD",1.15,"J","VS2","EX","EX","EX","NONE","GIA","HK","http://segoma.com/v.php?type=view&id=LF3TWXY1GG","",NULL,NULL
140,3053,"AO4-24",6232173534,"RD",1.12,"J","SI2","EX","EX","EX","NONE","GIA","HK","http://segoma.com/v.php?type=view&id=90XL2DG99","",NULL,NULL
141,2972,"BD2-6",2246747566,"RD",1.27,"L","VS2","EX","EX","EX","STG","GIA","HK","http://segoma.com/v.php?type=view&id=FPA8LWIYUU","",NULL,NULL
142,22131,"BC2-12C",6241618783,"RD",1.52,"D","IF","EX","EX","EX","FAINT","GIA","HK","http://segoma.com/v.php?type=view&id=NJRCYN57TT","",NULL,NULL
143,13126,"BF1-6C",6255192836,"RD",1.51,"D","VS2","EX","EX","EX","NONE","GIA","HK","http://segoma.com/v.php?type=view&id=R18N3D7Z22","",NULL,NULL
144,11416,"BF1-9F",1259243219,"RD",1.51,"D","SI1","EX","EX","EX","NONE","GIA","HK","http://segoma.com/v.php?type=view&id=1BU03S86JJ","",NULL,NULL
145,11625,"BF2-14A",1259240945,"RD",1.56,"D","SI1","EX","EX","EX","NONE","GIA","HK","http://segoma.com/v.php?type=view&id=9ZG5YFCTDD","",NULL,NULL
146,11627,"BF1-3F",6252333397,"RD",1.81,"D","SI2","EX","EX","EX","FAINT","GIA","HK","http://segoma.com/v.php?type=view&id=G36XOXQ8SS","",NULL,NULL
147,15709,"BH-1A",1253450159,"RD",1.52,"E","VVS2","EX","EX","EX","NONE","GIA","HK","http://segoma.com/v.php?type=view&id=FS6UUQYM22","",NULL,NULL
148,27475,"BH-1",6252450726,"RD",1.92,"E","VVS2","EX","EX","EX","NONE","GIA","HK","http://segoma.com/v.php?type=view&id=R11OUZPNXX","",NULL,NULL
149,13724,"BG-7D",1255333405,"RD",1.51,"E","VS1","EX","EX","EX","NONE","GIA","HK","http://segoma.com/v.php?type=view&id=HVQ5CDVSQQ","",NULL,NULL
150,9293,"AO1-13",6231038704,"RD",1.5,"E","SI1","EX","EX","VG","NONE","GIA","HK","http://segoma.com/v.php?type=view&id=8K7D232YCC","",NULL,NULL
151,7395,"BF2-6",5256374166,"RD",1.5,"E","SI2","EX","EX","EX","MEDIUM","GIA","HK","http://segoma.com/v.php?type=view&id=21KSAZT8TT","",NULL,NULL
152,8798,"BG-5D",1253335551,"RD",1.5,"E","SI2","EX","EX","EX","NONE","GIA","HK","http://segoma.com/v.php?type=view&id=LJHBQBYONN","",NULL,NULL
153,14833,"BF2-1D",6251335473,"RD",1.56,"F","VVS2","EX","EX","EX","NONE","GIA","HK","http://segoma.com/v.php?type=view&id=BQTH2N68HH","",NULL,NULL
154,14144,"BD2-3",6245747901,"RD",1.83,"F","VS1","EX","EX","EX","STG","GIA","HK","http://segoma.com/v.php?type=view&id=UDDDJ76BYY","",NULL,NULL
155,9478,"BF2-5C",6252376756,"RD",1.53,"F","SI1","EX","EX","EX","FAINT","GIA","HK","http://segoma.com/v.php?type=view&id=CA20HFS8OO","",NULL,NULL
156,12825,"BF1-4A",6255333374,"RD",1.71,"F","SI1","EX","EX","EX","NONE","GIA","HK","http://segoma.com/v.php?type=view&id=W1CGRTCW77","",NULL,NULL
157,10680,"BD2-3C",2247808512,"RD",1.78,"F","SI1","EX","EX","EX","STG","GIA","HK","http://segoma.com/v.php?type=view&id=1GRA9JZMSS","",NULL,NULL
158,15372,"BA-5",2244450916,"RD",1.8,"G","VVS2","EX","EX","EX","FAINT","GIA","HK","http://segoma.com/v.php?type=view&id=JGI7V04K33","",NULL,NULL
159,9177,"BA-10",2244478040,"RD",1.61,"G","SI1","EX","EX","EX","MEDIUM BLUE","GIA","HK","http://segoma.com/v.php?type=view&id=4MCWTBPOO","",NULL,NULL
160,4590,"AW-26",2247723241,"RD",1.55,"H","I1","EX","EX","EX","FAINT","GIA","HK","http://segoma.com/v.php?type=view&id=57PGG9Z833","",NULL,NULL
161,3737,"AM-12",2227732888,"RD",1.59,"H","I1","EX","EX","EX","NONE","GIA","HK","http://segoma.com/v.php?type=view&id=OLZIMF2XKK","",NULL,NULL
162,6129,"AW-37",2246478030,"RD",1.52,"I","SI2","EX","EX","EX","NONE","GIA","HK","http://segoma.com/v.php?type=view&id=1KJBKY64BB","",NULL,NULL
163,7812,"BF1-2A",6252335455,"RD",1.8,"J","SI1","EX","EX","EX","FAINT","GIA","HK","http://segoma.com/v.php?type=view&id=16AK9N12MM","",NULL,NULL
164,7132,"BF2-2",2257376736,"RD",1.83,"K","SI1","EX","EX","EX","NONE","GIA","HK","http://segoma.com/v.php?type=view&id=6JNIF7KT55","",NULL,NULL
165,4400,"BG-14B",6252390273,"RD",1.51,"K","SI2","EX","EX","VG","FAINT","GIA","HK","","",NULL,NULL
166,4362,"BF2-8A",1258450708,"RD",1.52,"L","SI2","EX","EX","EX","NONE","GIA","HK","http://segoma.com/v.php?type=view&id=CU9WSN8II","",NULL,NULL
167,3450,"BD2-6A",5243808947,"RD",1.5,"N","VS1","EX","EX","EX","STG","GIA","HK","http://segoma.com/v.php?type=view&id=Q0YIHMH77","",NULL,NULL
168,30703,"BE1-3",6252010305,"RD",2.35,"D","VS2","EX","EX","EX","NONE","GIA","HK","http://segoma.com/v.php?type=view&id=VIUK1K3LBB","",NULL,NULL
169,20320,"BG-12",7258311261,"RD",2.02,"D","SI1","EX","EX","EX","NONE","GIA","HK","http://segoma.com/v.php?type=view&id=T1DSE5Z0FF","",NULL,NULL
170,11904,"BD1-6I",1257614387,"RD",2,"D","I1","EX","EX","EX","NONE","GIA","HK","","",NULL,NULL
171,20230,"BF1-2",6251296393,"RD",2.23,"F","VS2","EX","EX","EX","STG","GIA","HK","http://segoma.com/v.php?type=view&id=DJN9GHYF33","",NULL,NULL
172,17153,"BE1-2G",6245948670,"RD",2.05,"F","SI1","EX","EX","EX","FAINT","GIA","HK","http://segoma.com/v.php?type=view&id=PU9SG2KWVV","",NULL,NULL
173,17448,"BD2-1",1249794587,"RD",2.31,"F","SI1","EX","EX","EX","MEDIUM","GIA","HK","http://segoma.com/v.php?type=view&id=PD4TJTUUU","",NULL,NULL
174,13850,"BF1-7",7256197609,"RD",2,"F","SI2","EX","EX","EX","NONE","GIA","HK","http://segoma.com/v.php?type=view&id=5J3I0WL0XX","",NULL,NULL
175,12269,"BG-9",6251436743,"RD",2.05,"F","SI2","EX","EX","EX","MEDIUM","GIA","HK","http://segoma.com/v.php?type=view&id=53ELK4AWPP","",NULL,NULL
176,9840,"BG-9A",1253436775,"RD",2,"F","I1","EX","EX","EX","MEDIUM","GIA","HK","http://segoma.com/v.php?type=view&id=U9VVBTY5GG","",NULL,NULL
177,9877,"BF1-6",1259138776,"RD",2.01,"F","I1","EX","EX","EX","NONE","GIA","HK","http://segoma.com/v.php?type=view&id=MQW6XEV099","",NULL,NULL
178,11457,"BF1-8",2256436729,"RD",2.01,"F","I1","EX","EX","EX","NONE","GIA","HK","http://segoma.com/v.php?type=view&id=WKQRQ5V9TT","",NULL,NULL
179,23510,"BE2-10G",6251012518,"RD",2.3,"H","VVS1","EX","EX","EX","NONE","GIA","HK","http://segoma.com/v.php?type=view&id=UF4E75F266","",NULL,NULL
180,13981,"BC2-4C",6242747875,"RD",2.05,"H","SI1","EX","EX","EX","FAINT","GIA","HK","http://segoma.com/v.php?type=view&id=NIOVR716CC","",NULL,NULL
181,12364,"BE2-11",1255142752,"RD",2.01,"H","SI2","EX","EX","EX","NONE","GIA","HK","http://segoma.com/v.php?type=view&id=LT465BWX88","",NULL,NULL
182,11764,"BE1-7",7251176241,"RD",2.03,"H","SI2","EX","EX","EX","FAINT","GIA","HK","http://segoma.com/v.php?type=view&id=Z0GJVS0P44","",NULL,NULL
183,13047,"BH-7",7258524520,"RD",2.18,"H","SI2","EX","EX","EX","NONE","GIA","HK","http://segoma.com/v.php?type=view&id=OYYZW3C","",NULL,NULL
184,14918,"BG-3A",6255324878,"RD",2.22,"I","VS2","EX","EX","EX","NONE","GIA","HK","http://segoma.com/v.php?type=view&id=Y35K0NB8BB","",NULL,NULL
185,12151,"AW-6",1249649286,"RD",2,"I","SI1","EX","EX","EX","NONE","GIA","HK","http://segoma.com/v.php?type=view&id=IC9DVMXX","",NULL,NULL
186,12333,"BA-8",2247421649,"RD",2.03,"I","SI1","EX","EX","EX","NONE","GIA","HK","http://segoma.com/v.php?type=view&id=K2EXKJMU77","",NULL,NULL
187,13048,"BH-6A",6255497621,"RD",2.05,"I","SI1","EX","EX","EX","NONE","GIA","HK","http://segoma.com/v.php?type=view&id=BXQYQ1KUTT","",NULL,NULL
